PERIODE;PIB;P7;P3M;P3P;P31G;P32G;P3;P51S;P51B;P51G;P51M;P51P;P51;P54;P6
1949T1;3,2;0,4;1,9;0,1;0,2;0,2;2,4;0,4;0,0;0,1;0,1;0,0;0,6;0,1;0,4
1949T2;3,2;0,4;2,0;0,1;0,3;0,2;2,5;0,4;0,0;0,1;0,1;0,0;0,6;0,1;0,5
1949T3;3,3;0,4;2,1;0,1;0,3;0,2;2,6;0,4;0,0;0,1;0,1;0,0;0,6;0,1;0,5
1949T4;3,4;0,4;2,1;0,1;0,3;0,3;2,6;0,4;0,0;0,1;0,1;0,0;0,7;0,1;0,5
1950T1;3,6;0,5;2,1;0,1;0,3;0,3;2,7;0,5;0,0;0,1;0,1;0,0;0,7;0,2;0,5
1950T2;3,8;0,5;2,2;0,1;0,3;0,3;2,8;0,5;0,0;0,1;0,1;0,0;0,7;0,2;0,6
1950T3;4,0;0,5;2,4;0,1;0,3;0,3;3,1;0,5;0,0;0,1;0,1;0,0;0,7;0,1;0,6
1950T4;4,2;0,6;2,5;0,1;0,3;0,3;3,2;0,5;0,0;0,1;0,1;0,0;0,7;0,1;0,7
1951T1;4,4;0,6;2,7;0,1;0,3;0,3;3,4;0,6;0,0;0,1;0,1;0,0;0,8;0,1;0,7
1951T2;4,8;0,7;2,8;0,1;0,4;0,3;3,6;0,6;0,0;0,1;0,2;0,0;0,9;0,2;0,8
1951T3;5,0;0,8;3,0;0,1;0,4;0,4;3,8;0,6;0,0;0,1;0,2;0,0;0,9;0,2;0,8
1951T4;5,4;0,8;3,1;0,1;0,4;0,4;4,0;0,7;0,0;0,1;0,2;0,0;1,0;0,3;0,8
1952T1;5,7;0,8;3,3;0,1;0,4;0,4;4,3;0,7;0,0;0,2;0,2;0,0;1,1;0,3;0,8
1952T2;5,6;0,8;3,3;0,1;0,5;0,4;4,3;0,7;0,0;0,2;0,3;0,0;1,1;0,2;0,8
1952T3;5,7;0,8;3,4;0,1;0,5;0,5;4,4;0,7;0,0;0,2;0,3;0,0;1,1;0,2;0,8
1952T4;5,7;0,8;3,4;0,1;0,5;0,5;4,5;0,7;0,0;0,2;0,3;0,0;1,1;0,1;0,8
1953T1;5,8;0,7;3,5;0,1;0,5;0,5;4,5;0,7;0,0;0,2;0,3;0,0;1,1;0,1;0,8
1953T2;5,9;0,7;3,5;0,1;0,5;0,5;4,6;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1953T3;5,9;0,7;3,5;0,1;0,5;0,5;4,6;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1953T4;6,0;0,7;3,5;0,1;0,5;0,5;4,6;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1954T1;6,1;0,8;3,6;0,1;0,5;0,5;4,7;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1954T2;6,2;0,8;3,7;0,1;0,5;0,5;4,8;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1954T3;6,4;0,8;3,7;0,1;0,5;0,5;4,8;0,7;0,0;0,2;0,3;0,0;1,3;0,1;0,8
1954T4;6,4;0,8;3,8;0,1;0,5;0,5;4,9;0,7;0,0;0,2;0,4;0,0;1,3;0,1;0,9
1955T1;6,5;0,8;3,8;0,1;0,5;0,5;4,9;0,7;0,0;0,2;0,4;0,0;1,3;0,2;0,9
1955T2;6,7;0,8;3,9;0,1;0,5;0,5;5,0;0,7;0,0;0,2;0,4;0,0;1,4;0,1;0,9
1955T3;6,8;0,8;4,0;0,1;0,5;0,5;5,1;0,8;0,0;0,2;0,4;0,0;1,4;0,1;0,9
1955T4;7,0;0,9;4,1;0,1;0,6;0,5;5,3;0,8;0,0;0,3;0,4;0,0;1,5;0,1;0,9
1956T1;7,1;0,9;4,2;0,1;0,6;0,5;5,5;0,8;0,0;0,3;0,4;0,0;1,5;0,1;0,9
1956T2;7,3;1,0;4,4;0,1;0,6;0,6;5,7;0,9;0,0;0,3;0,4;0,0;1,6;0,2;0,9
1956T3;7,5;1,0;4,5;0,1;0,6;0,6;5,8;0,9;0,0;0,3;0,4;0,0;1,6;0,1;1,0
1956T4;7,8;1,1;4,6;0,1;0,6;0,6;6,0;0,9;0,0;0,3;0,4;0,0;1,7;0,2;1,0
1957T1;8,0;1,1;4,6;0,1;0,7;0,6;6,0;1,0;0,0;0,3;0,4;0,0;1,8;0,2;1,0
1957T2;8,2;1,1;4,8;0,1;0,7;0,6;6,2;1,0;0,0;0,3;0,5;0,0;1,9;0,2;1,0
1957T3;8,5;1,2;5,0;0,1;0,7;0,6;6,5;1,1;0,0;0,3;0,5;0,0;1,9;0,2;1,1
1957T4;8,9;1,2;5,2;0,2;0,7;0,6;6,7;1,1;0,0;0,4;0,5;0,0;2,0;0,2;1,1
1958T1;9,3;1,2;5,4;0,2;0,7;0,7;6,9;1,2;0,0;0,4;0,5;0,0;2,1;0,4;1,1
1958T2;9,6;1,2;5,5;0,2;0,8;0,7;7,1;1,2;0,0;0,4;0,6;0,0;2,2;0,4;1,1
1958T3;9,8;1,2;5,6;0,2;0,8;0,7;7,2;1,2;0,0;0,4;0,6;0,0;2,2;0,4;1,2
1958T4;10,0;1,2;5,7;0,2;0,8;0,7;7,4;1,2;0,0;0,4;0,6;0,0;2,3;0,2;1,3
1959T1;10,1;1,2;5,9;0,2;0,8;0,7;7,6;1,3;0,0;0,4;0,6;0,0;2,3;0,1;1,3
1959T2;10,5;1,2;5,9;0,2;0,8;0,8;7,7;1,3;0,0;0,4;0,6;0,0;2,4;0,1;1,4
1959T3;10,7;1,2;6,0;0,2;0,9;0,8;7,9;1,3;0,0;0,4;0,6;0,0;2,4;0,1;1,5
1959T4;11,0;1,3;6,2;0,2;0,9;0,8;8,0;1,4;0,0;0,5;0,6;0,0;2,5;0,3;1,6
1960T1;11,3;1,4;6,3;0,2;0,9;0,8;8,2;1,4;0,0;0,5;0,6;0,0;2,5;0,3;1,7
1960T2;11,6;1,4;6,4;0,2;0,9;0,8;8,3;1,4;0,0;0,5;0,6;0,0;2,6;0,4;1,7
1960T3;11,8;1,5;6,5;0,2;0,9;0,8;8,5;1,5;0,0;0,5;0,6;0,0;2,7;0,4;1,8
1960T4;12,1;1,5;6,7;0,2;1,0;0,8;8,7;1,5;0,0;0,5;0,7;0,0;2,8;0,4;1,8
1961T1;12,4;1,5;6,9;0,2;1,0;0,8;8,9;1,7;0,0;0,5;0,7;0,0;2,9;0,2;1,8
1961T2;12,5;1,5;7,0;0,2;1,0;0,9;9,1;1,7;0,0;0,5;0,7;0,0;3,0;0,1;1,8
1961T3;12,8;1,6;7,1;0,2;1,1;0,9;9,3;1,7;0,0;0,6;0,7;0,0;3,1;0,1;1,9
1961T4;13,1;1,6;7,3;0,2;1,1;0,9;9,5;1,8;0,0;0,6;0,8;0,0;3,2;0,2;1,8
1962T1;13,7;1,7;7,6;0,2;1,1;1,0;10,0;1,8;0,0;0,6;0,8;0,0;3,3;0,3;1,9
1962T2;14,1;1,6;7,9;0,2;1,2;1,0;10,2;1,8;0,0;0,7;0,8;0,0;3,3;0,3;1,9
1962T3;14,4;1,7;8,0;0,2;1,2;1,0;10,5;1,9;0,0;0,7;0,8;0,0;3,4;0,3;1,9
1962T4;14,8;1,7;8,2;0,2;1,3;1,1;10,7;1,9;0,0;0,7;0,8;0,0;3,5;0,4;1,9
1963T1;14,8;1,8;8,3;0,3;1,3;1,1;11,0;1,9;0,0;0,6;0,8;0,0;3,5;0,3;1,8
1963T2;15,8;1,9;8,8;0,3;1,4;1,1;11,6;2,1;0,0;0,8;0,9;0,0;3,9;0,2;2,1
1963T3;16,5;2,0;9,2;0,3;1,4;1,2;12,0;2,2;0,0;0,8;1,0;0,0;4,1;0,2;2,2
1963T4;16,6;2,1;9,3;0,3;1,5;1,2;12,2;2,3;0,0;0,8;1,0;0,0;4,2;0,2;2,2
1964T1;17,2;2,2;9,5;0,3;1,5;1,2;12,5;2,3;0,0;0,9;1,0;0,0;4,3;0,3;2,3
1964T2;17,4;2,3;9,6;0,3;1,5;1,2;12,7;2,3;0,1;0,9;1,1;0,0;4,4;0,4;2,3
1964T3;17,9;2,3;9,8;0,3;1,6;1,2;12,9;2,4;0,1;0,9;1,1;0,0;4,6;0,5;2,3
1964T4;18,3;2,3;9,9;0,3;1,6;1,3;13,1;2,5;0,1;1,0;1,2;0,0;4,7;0,3;2,4
1965T1;18,5;2,2;10,0;0,3;1,7;1,3;13,2;2,4;0,1;1,0;1,2;0,0;4,8;0,3;2,4
1965T2;18,9;2,3;10,3;0,3;1,7;1,3;13,6;2,5;0,1;1,0;1,3;0,0;4,9;0,3;2,5
1965T3;19,3;2,4;10,5;0,3;1,7;1,3;13,9;2,5;0,1;1,1;1,3;0,0;4,9;0,2;2,7
1965T4;19,7;2,5;10,6;0,3;1,8;1,4;14,1;2,6;0,1;1,1;1,4;0,0;5,1;0,2;2,8
1966T1;20,0;2,5;10,8;0,3;1,8;1,4;14,3;2,6;0,1;1,1;1,4;0,0;5,2;0,3;2,7
1966T2;20,6;2,7;11,1;0,3;1,9;1,4;14,7;2,7;0,1;1,1;1,5;0,0;5,4;0,4;2,8
1966T3;20,9;2,8;11,2;0,3;1,9;1,4;14,9;2,8;0,1;1,1;1,5;0,0;5,5;0,4;2,9
1966T4;21,3;2,8;11,5;0,3;2,0;1,5;15,2;2,8;0,1;1,2;1,5;0,0;5,6;0,4;2,8
1967T1;21,8;2,9;11,8;0,3;2,0;1,5;15,6;3,0;0,1;1,2;1,5;0,0;5,8;0,4;2,9
1967T2;22,2;2,9;12,0;0,3;2,1;1,5;15,9;3,0;0,1;1,2;1,6;0,0;5,9;0,3;3,0
1967T3;22,7;2,9;12,2;0,3;2,1;1,6;16,2;3,0;0,1;1,3;1,6;0,0;6,0;0,4;3,0
1967T4;22,9;3,0;12,4;0,3;2,1;1,6;16,5;3,1;0,1;1,2;1,7;0,0;6,1;0,2;3,2
1968T1;23,6;3,1;12,6;0,4;2,1;1,6;16,8;3,1;0,1;1,3;1,7;0,0;6,2;0,3;3,5
1968T2;22,8;2,8;12,6;0,4;2,2;1,7;16,9;2,8;0,1;1,2;1,7;0,0;5,8;0,5;2,5
1968T3;25,2;3,5;13,6;0,4;2,4;1,8;18,2;3,4;0,1;1,3;1,9;0,0;6,7;0,1;3,8
1968T4;26,1;3,6;14,1;0,4;2,4;1,9;18,9;3,5;0,1;1,3;1,9;0,0;6,9;0,4;3,5
1969T1;27,1;3,7;14,5;0,4;2,6;1,9;19,3;3,5;0,1;1,4;2,0;0,0;6,9;0,8;3,7
1969T2;27,8;4,1;15,0;0,4;2,7;2,0;20,1;3,7;0,1;1,4;2,0;0,0;7,2;0,6;3,9
1969T3;28,4;4,2;15,4;0,4;2,7;2,0;20,6;3,8;0,1;1,4;2,1;0,0;7,4;0,6;4,1
1969T4;29,1;4,4;15,5;0,5;2,8;2,1;20,9;3,8;0,1;1,4;2,2;0,0;7,6;0,7;4,4
1970T1;30,1;4,5;15,9;0,5;2,9;2,2;21,5;3,9;0,1;1,5;2,2;0,0;7,7;0,7;4,7
1970T2;31,0;4,8;16,4;0,5;3,0;2,2;22,1;4,1;0,1;1,5;2,3;0,0;8,0;0,7;4,9
1970T3;31,9;4,9;16,7;0,5;3,1;2,3;22,6;4,1;0,1;1,6;2,4;0,0;8,2;0,9;5,1
